player_name,over,min_runs,max_runs,avg_runs
A Raghuvanshi,15,0,1,0.6666666666666666
A Raghuvanshi,16,2,2,2.0
A Raghuvanshi,17,8,8,8.0
A Raghuvanshi,18,1,1,1.0
A Singh,14,0,0,0.0
A Singh,16,0,0,0.0
A Singh,17,0,0,0.0
A Singh,18,1,1,1.0
A Singh,19,0,1,0.5
A Symonds,3,0,1,0.25
A Symonds,4,0,11,2.727272727272727
A Symonds,5,0,13,3.1538461538461537
A Symonds,6,0,10,4.0625
A Symonds,7,0,9,3.6875
A Symonds,8,0,8,2.6153846153846154
A Symonds,9,0,15,4.066666666666666
A Symonds,10,0,12,2.736842105263158
A Symonds,11,0,13,4.409090909090909
A Symonds,12,0,11,3.0476190476190474
A Symonds,13,0,13,4.318181818181818
A Symonds,14,0,17,4.555555555555555
A Symonds,15,0,10,3.375
A Symonds,16,1,19,6.733333333333333
A Symonds,17,0,14,4.266666666666667
A Symonds,18,1,16,5.0
A Symonds,19,0,10,2.6666666666666665
A Tomar,1,4,4,4.0
A Tomar,2,0,0,0.0
A Uniyal,17,1,1,1.0
A Uniyal,18,1,1,1.0
A Uniyal,19,0,2,1.0
A Zampa,8,1,1,1.0
A Zampa,9,1,1,1.0
A Zampa,10,0,0,0.0
A Zampa,13,5,5,5.0
A Zampa,14,0,2,1.0
A Zampa,15,0,1,0.5
A Zampa,16,1,1,1.0
A Zampa,17,3,3,3.0
A Zampa,19,0,1,0.5
AA Bilakhia,1,1,10,5.5
AA Bilakhia,2,1,2,1.5
AA Bilakhia,3,1,1,1.0
AA Bilakhia,4,1,4,2.0
AA Bilakhia,5,0,1,0.6666666666666666
AA Bilakhia,6,2,2,2.0
AA Bilakhia,7,1,3,2.0
AA Bilakhia,8,2,2,2.0
AA Bilakhia,9,0,0,0.0
AA Bilakhia,15,1,1,1.0
AA Bilakhia,16,1,3,2.0
AA Bilakhia,17,0,4,1.6666666666666667
AA Bilakhia,18,2,6,3.6666666666666665
AA Bilakhia,19,0,10,4.666666666666667
AA Chavan,13,1,1,1.0
AA Chavan,16,4,4,4.0
AA Chavan,17,0,0,0.0
AA Chavan,18,5,5,5.0
AA Chavan,19,2,2,2.0
AA Jhunjhunwala,0,0,0,0.0
AA Jhunjhunwala,1,1,1,1.0
AA Jhunjhunwala,3,0,1,0.6666666666666666
AA Jhunjhunwala,4,1,5,2.3333333333333335
AA Jhunjhunwala,5,0,7,2.8
AA Jhunjhunwala,6,0,2,1.0
AA Jhunjhunwala,7,0,11,4.142857142857143
AA Jhunjhunwala,8,0,13,3.5
AA Jhunjhunwala,9,0,2,1.4
AA Jhunjhunwala,10,1,2,1.25
AA Jhunjhunwala,11,0,5,2.25
AA Jhunjhunwala,12,1,5,3.5
AA Jhunjhunwala,13,1,8,4.75
AA Jhunjhunwala,14,2,5,3.25
AA Jhunjhunwala,15,0,8,3.2
AA Jhunjhunwala,16,2,4,3.25
AA Jhunjhunwala,17,0,6,2.5
AA Jhunjhunwala,18,1,7,4.666666666666667
AA Jhunjhunwala,19,0,10,3.6666666666666665
AA Kulkarni,0,0,5,2.5
AA Kulkarni,1,4,4,4.0
AA Noffke,8,1,1,1.0
AA Noffke,9,6,6,6.0
AA Noffke,10,1,1,1.0
AA Noffke,11,1,1,1.0
AB Agarkar,1,6,6,6.0
AB Agarkar,2,7,7,7.0
AB Agarkar,3,7,7,7.0
AB Agarkar,4,0,0,0.0
AB Agarkar,9,9,9,9.0
AB Agarkar,10,1,1,1.0
AB Agarkar,11,0,1,0.6666666666666666
AB Agarkar,12,1,2,1.25
AB Agarkar,13,0,3,1.2
AB Agarkar,14,1,6,2.75
AB Agarkar,15,1,10,3.2
AB Agarkar,16,2,6,4.4
AB Agarkar,17,1,9,2.625
AB Agarkar,18,1,6,3.3
AB Agarkar,19,0,7,3.3
AB Barath,0,1,1,1.0
AB Barath,1,0,0,0.0
AB Barath,3,8,8,8.0
AB Barath,4,4,4,4.0
AB Barath,5,5,5,5.0
AB Barath,6,2,2,2.0
AB Barath,7,1,5,3.0
AB Barath,8,1,4,2.5
AB Barath,9,4,5,4.5
AB Barath,10,0,0,0.0
AB Barath,17,1,1,1.0
AB Barath,18,1,1,1.0
AB Dinda,14,0,5,2.0
AB Dinda,15,0,2,1.0
AB Dinda,16,0,0,0.0
AB Dinda,17,0,1,0.5
AB Dinda,18,0,1,0.6666666666666666
AB Dinda,19,0,5,1.625
AB McDonald,0,1,1,1.0
AB McDonald,1,6,6,6.0
AB McDonald,2,18,18,18.0
AB McDonald,4,1,1,1.0
AB McDonald,5,4,4,4.0
AB McDonald,10,0,2,1.0
AB McDonald,11,1,2,1.5
AB McDonald,12,2,2,2.0
AB McDonald,13,3,3,3.0
AB McDonald,14,3,3,3.0
AB McDonald,15,2,2,2.0
AB McDonald,16,0,3,1.0
AB McDonald,17,1,8,3.5
AB McDonald,18,1,9,4.833333333333333
AB McDonald,19,0,11,4.0
AB de Villiers,0,0,13,4.555555555555555
AB de Villiers,1,0,10,2.3529411764705883
AB de Villiers,2,0,9,1.967741935483871
AB de Villiers,3,0,14,3.022222222222222
AB de Villiers,4,0,13,4.2727272727272725
AB de Villiers,5,0,16,3.9310344827586206
AB de Villiers,6,0,13,2.9305555555555554
AB de Villiers,7,0,13,3.0694444444444446
AB de Villiers,8,0,11,3.25
AB de Villiers,9,0,14,3.7341772151898733
AB de Villiers,10,0,17,3.8987341772151898
AB de Villiers,11,0,15,3.951219512195122
AB de Villiers,12,0,22,3.9135802469135803
AB de Villiers,13,0,15,4.236111111111111
AB de Villiers,14,0,19,4.472972972972973
AB de Villiers,15,0,23,6.208333333333333
AB de Villiers,16,0,17,5.594202898550725
AB de Villiers,17,0,23,6.766666666666667
AB de Villiers,18,0,22,7.921568627450981
AB de Villiers,19,0,26,6.818181818181818
AC Blizzard,0,0,13,6.285714285714286
AC Blizzard,1,0,1,0.8
AC Blizzard,2,0,20,5.2
AC Blizzard,3,0,9,3.6666666666666665
AC Blizzard,4,0,4,1.3333333333333333
AC Blizzard,5,10,10,10.0
AC Blizzard,6,3,8,5.5
AC Blizzard,7,10,10,10.0
AC Gilchrist,0,0,20,3.75
AC Gilchrist,1,0,22,4.728813559322034
AC Gilchrist,2,0,16,3.896551724137931
AC Gilchrist,3,0,13,4.16
AC Gilchrist,4,0,16,4.230769230769231
AC Gilchrist,5,0,23,6.529411764705882
AC Gilchrist,6,0,22,3.2857142857142856
AC Gilchrist,7,0,14,4.185185185185185
AC Gilchrist,8,0,16,5.136363636363637
AC Gilchrist,9,0,20,5.136363636363637
AC Gilchrist,10,0,20,4.5625
AC Gilchrist,11,0,8,2.909090909090909
AC Gilchrist,12,0,8,2.888888888888889
AC Gilchrist,13,0,11,4.0
AC Gilchrist,14,1,21,9.0
AC Gilchrist,15,0,6,3.6666666666666665
AC Gilchrist,16,1,13,7.0
AC Gilchrist,17,2,10,4.666666666666667
AC Gilchrist,18,2,6,4.0
AC Gilchrist,19,8,8,8.0
AC Thomas,15,1,1,1.0
AC Thomas,16,0,6,3.0
AC Thomas,17,0,10,5.0
AC Thomas,18,2,2,2.0
AC Thomas,19,0,1,0.5
AC Voges,3,1,1,1.0
AC Voges,4,1,1,1.0
AC Voges,5,5,5,5.0
AC Voges,6,1,3,2.0
AC Voges,7,1,3,2.0
AC Voges,8,1,2,1.5
AC Voges,9,1,7,4.0
AC Voges,10,1,2,1.3333333333333333
AC Voges,11,4,5,4.5
AC Voges,12,1,4,2.0
